UPC	quantity	unit_cost	style	std_size
604084195791	0	18.40	TX0778-001X	XS
604084856357	0	18.40	TX0778-534X	XS
604084195838	0	18.40	TX0778-001X	XL
604084856395	0	18.40	TX0778-534X	XL
604084856364	23	18.40	TX0778-534X	S
604084195807	0	18.40	TX0778-001X	S
604084856371	8	18.40	TX0778-534X	M
604084195814	0	18.40	TX0778-001X	M
604084195821	0	18.40	TX0778-001X	L
604084856388	0	18.40	TX0778-534X	L
604084488510	12	18.40	TX3204-999X	XXL
604084488442	25	18.40	TX3204-534X	XXL
604084488374	0	18.40	TX3204-001X	XXL
604084488398	15	18.40	TX3204-534X	XS
604084488466	22	18.40	TX3204-999X	XS
604084488329	0	18.40	TX3204-001X	XS
604084488367	0	18.40	TX3204-001X	XL
604084488503	29	18.40	TA2159-8740	XL
604084488435	50	18.40	TA2156-9990	XL
604084488404	27	18.40	TX3204-534X	S
604084488473	34	18.40	TX3204-999X	S
604084488336	0	18.40	TX3204-001X	S
604084488343	6	18.40	TX3204-001X	M
604084488411	75	18.40	TX3204-534X	M
604084488480	52	18.40	TX3204-999X	M
604084488350	10	18.40	TX3204-001X	L
604084488497	43	18.40	TX3204-999X	L
604084488428	56	18.40	TX3204-534X	L
604084895004	0	18.40	TX3384-001X	XXL
604084894953	0	18.40	TX3384-001X	XS
604084894991	0	18.40	TX3384-001X	XL
604084894960	0	18.40	TX3384-001X	S
604084894977	0	18.40	TX3384-001X	M
604084894984	0	18.40	TX3384-001X	L
604084309617	17	18.40	TX6032-001X	XXL
604084485199	0	18.40	TX6032-999X	XXL
604084894861	0	18.40	TX6032-347X	XXL
604084309563	6	18.40	TX6032-001X	XS
604084485144	7	18.40	TX6032-999X	XS
604084856562	10	18.40	TX6032-347X	XS
604084856609	22	18.40	TX6032-347X	XL
604084309600	19	18.40	TX6032-001X	XL
604084485182	7	18.40	TX6032-999X	XL
604084856579	38	18.40	TX6032-347X	S
604084309570	50	18.40	TX6032-001X	S
604084485151	32	18.40	TX6032-999X	S
604084856586	36	18.40	TX6032-347X	M
604084309587	41	18.40	TX6032-001X	M
604084485168	37	18.40	TX6032-999X	M
604084485175	15	18.40	TX6032-999X	L
604084309594	31	18.40	TX6032-001X	L
