UPC	quantity	unit_cost
604084323644	0	27.60
604084323590	14	27.60
604084323637	7	27.60
604084323606	93	27.60
604084323613	57	27.60
604084323620	51	27.60
604084323712	0	27.60
604084323668	8	27.60
604084323705	0	27.60
604084323675	52	27.60
604084323682	10	27.60
604084323699	11	27.60
604084323781	0	27.60
604084323736	0	27.60
604084323774	0	27.60
604084323743	47	27.60
604084323750	8	27.60
604084323767	0	27.60
604084323859	0	25.20
604084323804	7	25.20
604084323842	0	25.20
604084323811	33	25.20
604084323828	6	25.20
604084323835	0	25.20
604084324924	0	25.20
604084324870	27	25.20
604084324917	7	25.20
604084324887	98	25.20
604084324894	75	25.20
604084324900	54	25.20
604084324993	0	27.60
604084325068	0	27.60
604084324948	7	27.60
604084325013	9	27.60
604084324986	14	27.60
604084325051	15	27.60
604084324955	55	27.60
604084325020	48	27.60
604084324962	70	27.60
604084325037	50	27.60
604084324979	49	27.60
604084325044	36	27.60
604084325273	0	27.60
604084325228	0	27.60
604084325266	0	27.60
604084325235	31	27.60
604084325242	30	27.60
604084325259	14	27.60
604084325341	0	27.60
604084325297	6	27.60
604084325334	11	27.60
604084325303	36	27.60
604084325310	30	27.60
604084325327	10	27.60
604084325907	0	25.20
604084325853	0	25.20
604084325891	0	25.20
604084325860	19	25.20
604084325877	0	25.20
604084325884	11	25.20
604084326119	0	27.60
604084326065	0	27.60
604084326102	14	27.60
604084326072	47	27.60
604084326089	57	27.60
604084326096	55	27.60
604084327116	0	25.20
604084327000	0	25.20
604084327109	17	25.20
604084327017	17	25.20
604084327086	29	25.20
604084327093	39	25.20
604084327253	0	29.20
604084327208	5	29.20
604084327246	0	29.20
604084327215	16	29.20
604084327222	5	29.20
604084327239	0	29.20
604084501875	0	35.60
604084501646	27	35.60
604084501684	11	35.60
604084501653	46	35.60
604084501660	50	35.60
604084501677	25	35.60
604084502186	11	27.60
604084502056	8	27.60
604084502179	13	27.60
604084502148	26	27.60
604084502155	29	27.60
604084502162	12	27.60
604084520869	10	27.60
604084508287	12	27.60
604084520852	31	27.60
604084508294	43	27.60
604084520838	61	27.60
604084520845	35	27.60
604084521095	36	27.60
604084520883	7	27.60
604084520920	39	27.60
604084520890	37	27.60
604084520906	27	27.60
604084520913	56	27.60
604084327536	0	27.60
604084327482	0	27.60
604084327529	11	27.60
604084327499	14	27.60
604084327505	14	27.60
604084327512	13	27.60
604084328021	0	27.60
604084327970	0	27.60
604084328014	16	27.60
604084327987	44	27.60
604084327994	39	27.60
604084328007	32	27.60
604084328731	0	27.60
604084328687	0	27.60
604084328724	10	27.60
604084328694	38	27.60
604084328700	47	27.60
604084328717	43	27.60
604084329677	0	27.60
604084328755	5	27.60
604084329660	23	27.60
604084328762	32	27.60
604084329646	62	27.60
604084329653	55	27.60
604084329745	10	27.60
604084329691	15	27.60
604084329738	11	27.60
604084329707	43	27.60
604084329714	36	27.60
604084329721	22	27.60
604084341211	10	25.20
604084341167	0	25.20
604084341204	15	25.20
604084341174	23	25.20
604084341181	24	25.20
604084341198	18	25.20
604084341631	0	27.60
604084341587	7	27.60
604084341624	17	27.60
604084341594	19	27.60
604084341600	23	27.60
604084341617	20	27.60
604084341709	0	35.60
604084341655	0	35.60
604084341693	0	35.60
604084341662	12	35.60
604084341679	11	35.60
604084341686	8	35.60
604084341778	0	27.60
604084341723	0	27.60
604084341761	10	27.60
604084341730	20	27.60
604084341747	21	27.60
604084341754	18	27.60
604084341846	0	27.60
604084341792	0	27.60
604084341839	16	27.60
604084341808	13	27.60
604084341815	26	27.60
604084341822	19	27.60
604084342126	0	27.60
604084342072	0	27.60
604084342119	14	27.60
604084342089	12	27.60
604084342096	22	27.60
604084342102	19	27.60
604084352774	0	27.60
604084352729	0	27.60
604084352767	0	27.60
604084352736	19	27.60
604084352743	17	27.60
604084352750	14	27.60
604084352989	0	27.60
604084352934	7	27.60
604084352972	15	27.60
604084352941	22	27.60
604084352958	21	27.60
604084352965	5	27.60
604084195845	0	31.60
604084856401	0	31.60
604084195791	0	31.60
604084856357	0	31.60
604084195838	0	31.60
604084856395	0	31.60
604084195807	0	31.60
604084856364	20	31.60
604084195814	0	31.60
604084856371	7	31.60
604084195821	0	31.60
604084856388	0	31.60
604084488374	0	21.20
604084488442	19	21.20
604084488510	0	21.20
604084488329	0	21.20
604084488398	14	21.20
604084488466	20	21.20
604084488367	0	21.20
604084488435	38	21.20
604084488503	17	21.20
604084488336	0	21.20
604084488404	15	21.20
604084488473	27	21.20
604084488343	0	21.20
604084488411	55	21.20
604084488480	33	21.20
604084488350	0	21.20
604084488428	37	21.20
604084488497	12	21.20
604084913210	0	11.60
604084913357	0	11.60
604084913104	0	11.60
604084913302	0	11.60
604084913203	0	11.60
604084913340	0	11.60
604084913111	0	11.60
604084913319	32	11.60
604084913128	0	11.60
604084913326	23	11.60
604084913197	0	11.60
604084913333	15	11.60
604084895004	0	29.20
604084894953	0	29.20
604084894991	0	29.20
604084894960	0	29.20
604084894977	0	29.20
604084894984	0	29.20
604084309617	20	25.20
604084894861	0	25.20
604084485199	5	25.20
604084309563	13	25.20
604084856562	10	25.20
604084485144	26	25.20
604084309600	34	25.20
604084856609	21	25.20
604084485182	41	25.20
604084309570	76	25.20
604084856579	35	25.20
604084485151	79	25.20
604084309587	151	25.20
604084856586	36	25.20
604084485168	135	25.20
604084309594	103	25.20
604084856593	22	25.20
604084485175	67	25.20
604084055927	15	23.60
604084193391	24	23.60
604084220905	0	23.60
604084055873	47	23.60
604084193346	28	23.60
604084193414	13	23.60
604084055910	49	23.60
604084193384	73	23.60
604084220899	0	23.60
604084055880	128	23.60
604084193353	104	23.60
604084193421	19	23.60
604084055897	138	23.60
604084193360	122	23.60
604084220875	59	23.60
604084055903	114	23.60
604084193377	138	23.60
604084220882	63	23.60
604084956064	18	25.20
604084583666	18	25.20
604084746085	0	25.20
604084308474	20	25.20
604084956132	7	25.20
604084955968	0	25.20
604084485724	22	25.20
604084746030	0	25.20
604084308429	25	25.20
604084956088	39	25.20
604084956002	35	25.20
604084583659	66	25.20
604084746078	35	25.20
604084308467	75	25.20
604084956125	37	25.20
604084955975	27	25.20
604084485731	65	25.20
604084746047	18	25.20
604084308436	87	25.20
604084956095	87	25.20
604084955982	18	25.20
604084583635	95	25.20
604084746054	45	25.20
604084308443	119	25.20
604084956101	129	25.20
604084955999	19	25.20
604084583642	74	25.20
604084746061	30	25.20
604084308450	120	25.20
604084956118	78	25.20
604084485120	0	23.60
604084484895	0	23.60
604084484918	38	23.60
604084484840	54	23.60
604084485113	73	23.60
604084484888	88	23.60
604084484925	74	23.60
604084484857	120	23.60
604084484932	114	23.60
604084484864	195	23.60
604084485106	102	23.60
604084484871	169	23.60
604084956491	0	29.20
604084956569	13	29.20
604084956637	24	29.20
604084956446	9	29.20
604084956514	20	29.20
604084956583	30	29.20
604084956484	21	29.20
604084956552	50	29.20
604084956620	64	29.20
604084956453	21	29.20
604084956521	68	29.20
604084956590	43	29.20
604084956460	54	29.20
604084956538	127	29.20
604084956606	125	29.20
604084956477	48	29.20
604084956545	95	29.20
604084956613	107	29.20
604084414144	17	31.60
604084894939	0	31.60
604084368249	0	31.60
604084368263	26	31.60
604084894885	0	31.60
604084368195	39	31.60
604084414137	61	31.60
604084894922	27	31.60
604084368232	41	31.60
604084414106	82	31.60
604084894892	30	31.60
604084368201	98	31.60
604084414113	154	31.60
604084894908	63	31.60
604084368218	104	31.60
604084414120	104	31.60
604084894915	58	31.60
604084368225	68	31.60
604084511133	0	27.60
604084511089	29	27.60
604084511126	40	27.60
604084511096	48	27.60
604084511102	72	27.60
604084511119	45	27.60
604084191373	10	27.60
604084191304	0	27.60
604084191328	13	27.60
604084191250	0	27.60
604084191366	17	27.60
604084191298	0	27.60
604084191335	29	27.60
604084191267	0	27.60
604084191342	48	27.60
604084191274	0	27.60
604084191359	37	27.60
604084191281	0	27.60
604084908247	10	26.00
604084869449	9	26.00
604084908230	17	26.00
604084869456	11	26.00
604084869463	13	26.00
604084908223	8	26.00
604084909008	0	25.20
604084908261	0	25.20
604084908995	0	25.20
604084908278	10	25.20
604084908971	0	25.20
604084908988	0	25.20
604084912527	0	25.20
604084911407	0	25.20
604084912510	36	25.20
604084911414	30	25.20
604084911421	49	25.20
604084912503	56	25.20
604084338358	0	26.00
604084338235	9	26.00
604084338341	21	26.00
604084338310	33	26.00
604084338327	44	26.00
604084338334	30	26.00
